Class,Dynamosa,Dynamosa Std,RL-Dynamosa,RL-Dynamosa Std,Difference,AÌ‚12,p-value
wheel.asm.ClassWriter,402.79s,15.275,406.64s,25.048,-3.84s,0.442,0.946
wheel.asm.ClassReader,507.74s,15.235,508.12s,16.773,0.38s,0.438,0.903
net.virtualinfinity.atrobots.gui.renderers.RobotRenderer,365.61s,1.002,365.54s,0.744,0.06s,0.455,0.968
fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,363.85s,1.874,364.68s,1.964,0.82s,0.302,0.11
weka.core.FindWithCapabilities,325.95s,0.157,325.94s,0.18,0.00s,0.448,1.0
jigl.image.ops.Shift,430.15s,14.14,416.34s,17.082,13.80s,0.665,0.021
com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,429.58s,9.521,429.49s,7.758,0.08s,0.395,0.561
Capture,387.00s,41.004,387.64s,39.601,0.63s,0.43,0.839
ipac.BinaryCalculate,383.78s,5.344,379.37s,3.955,4.41s,0.648,0.034
src.VassalRebellion,342.87s,2.41,341.15s,0.272,1.71s,0.7,0.007
com.mytdev.resources4j.impl.AbstractResources,306.32s,1.332,306.24s,0.221,0.07s,0.545,0.31
jigl.image.ops.SimpleOperator,368.06s,1.542,367.95s,2.196,0.10s,0.435,0.882
net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,360.78s,8.379,358.06s,6.411,2.71s,0.54,0.337
osa.ora.server.client.ui.utils.FontChooserDialog,335.20s,1.108,336.16s,6.574,0.95s,0.598,0.113
f.v.n.t.o.f.DaikonFormatter,367.02s,1.789,367.18s,1.373,0.15s,0.507,0.543
bible.util.Queue,373.24s,16.911,382.46s,36.185,-9.21s,0.39,0.525
uk.me.jockmacmad.jstate.state.Transition,362.60s,0.709,362.39s,0.277,0.21s,0.468,0.86
com.ib.client.ComboLeg,70.18s,2.871,69.32s,1.814,0.85s,0.53,0.394
jaw.entrada.Abrir,337.61s,0.959,337.34s,0.477,0.27s,0.535,0.365
org.saxpath.Axis,366.39s,1.015,366.11s,1.391,0.27s,0.422,0.776
ipac.WhoIS,362.67s,6.43,357.59s,5.394,5.08s,0.66,0.024
dsachat.server.Handler,348.27s,3.794,346.60s,0.806,1.67s,0.602,0.102
Newzgrabber.BatchDriver,339.19s,2.688,339.15s,1.451,0.04s,0.402,0.617
org.firebirdsql.jdbc.FBProcedureCall,380.65s,5.765,382.94s,5.053,-2.29s,0.295,0.096
teder.TederFrame,321.70s,1.707,321.96s,1.278,0.25s,0.328,0.19
org.exolab.jms.net.socket.SocketRequestInfo,362.10s,4.324,363.05s,1.222,0.94s,0.312,0.14
de.progra.charting.CoordSystemUtilities,406.91s,68.844,394.27s,29.938,12.64s,0.358,0.323
org.objectweb.asm.jip.ClassReader,499.17s,11.943,491.31s,33.844,7.85s,0.47,0.839
org.petsoar.order.CreditCardInfo,361.33s,1.49,360.65s,0.116,0.68s,0.845,1.92e-05
com.allenstudio.ir.util.XmlElement,452.82s,25.759,449.73s,23.859,3.08s,0.5,0.598
bcry.battlecryGUI,317.23s,0.428,317.06s,0.294,0.16s,0.55,0.291
ghm.follow.gui.TabbedPane,369.13s,2.008,370.08s,2.079,0.94s,0.292,0.091
org.javathena.login.parse.FromClient,333.43s,1.723,332.08s,1.643,1.35s,0.672,0.017
de.huxhorn.lilith.data.access.AccessEvent,367.44s,0.832,366.32s,0.893,1.12s,0.765,6.87e-04
com.pmdesigns.jvc.tools.TokenMgrError,368.12s,4.893,366.60s,2.63,1.52s,0.485,0.715
Scanner,371.70s,0.873,369.90s,8.606,1.79s,0.358,0.323
de.devcity.parseargs.ArgsParser,363.84s,1.98,364.91s,2.369,-1.06s,0.365,0.365
net.sf.xbus.base.core.reflection.XBUSClassLoader,315.05s,0.738,315.07s,1.035,0.02s,0.3,0.107
com.ib.client.ExecutionFilter,363.51s,0.699,363.64s,0.845,0.13s,0.428,0.818
jahuwaldt.plot.PlotDatum,373.29s,23.308,362.56s,17.63,10.73s,0.47,0.839
com.jstevh.viewer.SAXDirParser,366.43s,2.082,364.27s,1.801,2.16s,0.682,0.012
com.pmdesigns.jvc.tools.JVCParser,379.36s,4.938,379.47s,11.681,0.10s,0.242,0.026
geo.google.datamodel.GeoStatusCode,362.62s,0.174,362.66s,0.13,0.03s,0.322,0.176
jipa.Variable,413.85s,8.131,418.17s,6.463,-4.32s,0.31,0.133
ghm.follow.search.SearchableTextPane,369.55s,3.03,371.10s,1.837,-1.55s,0.275,0.06
net.sourceforge.schemaspy.model.xml.TableMeta,366.94s,2.669,368.34s,6.702,-1.39s,0.35,0.285
net.sf.lavalamp.device.TimeOfDay,363.41s,2.248,363.22s,0.528,0.19s,0.468,0.85
com.jstevh.viewer.ClassViewer,330.84s,8.065,328.56s,0.339,2.28s,0.515,0.49
org.firebirdsql.encodings.EncodingFactory,372.75s,0.838,369.73s,1.514,3.01s,0.928,2.56e-07
weka.core.Memory,397.46s,1.952,386.66s,21.417,10.79s,0.425,0.797
net.sf.xisemele.impl.OperationsHelperImpl,362.36s,0.372,361.44s,1.588,0.91s,0.818,7.41e-05
com.lts.io.DirectoryScanner,376.11s,1.593,376.14s,1.527,0.02s,0.525,0.425
org.fixsuite.message.view.TreeView,369.04s,3.257,365.95s,2.566,3.09s,0.638,0.044
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,373.85s,4.031,372.68s,1.753,1.17s,0.482,0.735
net.virtualinfinity.atrobots.robot.Robot,373.79s,2.778,371.40s,1.882,2.39s,0.74,0.002
com.werken.saxpath.XPathLexer,377.82s,1.922,377.73s,2.272,0.08s,0.48,0.756
net.sf.xbus.base.core.MessageHandler,341.76s,1.71,341.87s,1.722,0.11s,0.348,0.279
de.outstare.fortbattleplayer.model.impl.SimpleSector,383.53s,18.748,375.33s,3.959,8.19s,0.682,0.012
apbs_mem_gui.Main,328.65s,0.305,328.77s,1.101,0.11s,0.41,0.665
com.jstevh.viewer.ClassInfo,370.80s,3.811,369.82s,2.496,0.98s,0.588,0.14
geo.google.mapping.AddressToUsAddressFunctor,336.53s,0.212,336.50s,0.252,0.02s,0.502,0.588
jaw.entrada.Salvar,327.02s,0.286,326.95s,0.309,0.06s,0.5,0.598
jgaapGUI,328.01s,1.334,328.10s,0.565,0.08s,0.278,0.064
bcry.bcGenerator,391.49s,4.339,393.30s,3.667,-1.81s,0.292,0.091
com.lts.event.SimpleKeyListenerHelper,73.27s,2.217,74.14s,3.321,0.86s,0.385,0.49
wheel.asm.FieldWriter,367.39s,3.269,368.34s,2.344,0.94s,0.372,0.409
net.sourceforge.beanbin.reflect.ReflectionSearch,363.20s,0.464,363.22s,0.46,0.01s,0.17,0.003
org.objectweb.asm.jip.MethodWriter,413.42s,25.458,412.73s,18.917,0.69s,0.41,0.675
lotus.core.Game,364.63s,2.372,364.30s,3.438,0.32s,0.362,0.351
com.lts.swing.combobox.SimpleComboBox,370.05s,3.874,367.53s,2.709,2.51s,0.69,0.01
fr.unice.gfarce.interGraph.ModifTableStockage,384.14s,3.984,388.53s,4.536,-4.39s,0.185,0.004
net.sourceforge.beanbin.reflect.MethodReflectionCriteria,363.49s,0.693,363.47s,1.003,0.02s,0.56,0.239
org.jcvi.jillion.assembly.consed.phd.DefaultPhdReadTag,366.82s,0.657,366.81s,0.356,0.00s,0.452,0.989
de.beiri22.stringincrementor.helper.IndexedString,367.38s,3.417,373.40s,11.452,-6.02s,0.398,0.588
org.jcvi.jillion.assembly.ca.frg.Distance,368.42s,1.024,368.65s,0.483,0.23s,0.33,0.199
d.o.f.s.BattleStatistics,379.66s,1.726,379.81s,1.512,0.14s,0.428,0.818
com.densebrain.rif.server.transport.WebServiceDescriptor,366.01s,0.886,366.00s,0.16,0.00s,0.722,0.003
lotus.core.phases.Phase,324.74s,0.071,324.83s,0.114,0.09s,0.195,0.006
src.Battle,371.12s,4.67,369.74s,1.306,1.38s,0.512,0.508
corina.formats.TucsonSimple,368.88s,5.856,367.98s,3.447,0.90s,0.435,0.882
com.browsersoft.openhre.hl7.impl.regular.ExpressionImpl,367.97s,3.579,366.54s,4.718,1.43s,0.692,0.009
bierse.controller.DefaultSettingsController,341.60s,1.51,341.29s,1.181,0.31s,0.502,0.579
com.allenstudio.ir.ui.MainMenu,320.41s,0.732,320.14s,0.737,0.27s,0.542,0.323
com.imsmart.servlet.HTMLFilter,319.92s,65.71,334.97s,0.206,-15.04s,0.382,0.49
src.Purchase,365.80s,10.319,364.03s,2.093,1.77s,0.675,0.015
net.kencochrane.a4j.file.FileUtil,368.37s,1.38,369.28s,1.82,0.90s,0.285,0.076
com.yahoo.platform.yui.compressor.ScriptOrFnScope,368.95s,0.299,367.87s,2.137,1.08s,0.662,0.022
jipa.Main,436.36s,16.651,433.22s,22.989,3.13s,0.54,0.337
Convert,361.09s,16.004,366.50s,19.409,-5.40s,0.228,0.017
net.sf.sugar.fspath.FSPathResult,364.40s,1.452,363.30s,0.737,1.10s,0.678,0.014
com.pmdesigns.jvc.tools.JVCParserTokenManager,404.49s,9.275,407.95s,8.708,-3.45s,0.292,0.091
httpanalyzer.Password,376.75s,2.011,376.66s,4.223,0.08s,0.475,0.797
com.hf.sfm.crypt.Base64,364.17s,0.961,364.04s,0.756,0.13s,0.39,0.525
net.kencochrane.a4j.DAO.Product,325.11s,0.125,325.23s,0.155,0.12s,0.208,0.009
org.fixsuite.message.Library,387.38s,43.731,372.02s,9.297,15.35s,0.45,1.0
org.jsecurity.util.AntPathMatcher,367.87s,1.062,365.83s,1.373,2.03s,0.772,5.09e-04
com.gbshape.dbe.sapdb.SapdbTableList,314.87s,0.953,314.58s,0.044,0.29s,0.688,0.01
net.sourceforge.jwbf.mediawiki.actions.queries.TemplateUserTitles,315.35s,0.867,314.97s,0.107,0.38s,0.758,9.20e-04
org.templateit.Region,366.62s,0.198,366.59s,0.22,0.03s,0.455,0.968
com.soops.CEN4010.JMCA.JParser.JavaCharStream,452.29s,18.655,451.15s,24.793,1.13s,0.472,0.818
